id,transition,group,rating
029,SAZXAZXAXAXAZXZAXZXAXAZXAXAXAZXZXZXZAZXZXAZXZXASXSXSXSXSXSXZAXAXZXSXSZSXSAXSXSXASXSXSAXSXASXSXZXSXSZXZXZASXASXSXAXAXSXSXZXSXSXSXSXS,1,1
032,XZXAXZAXAXAXAZXAXAXAXZXAZXZXZAZXSXSXSXSXAXAXZXSAZXZXAXAZXAXAXAZXASAXAXZXAXZXAXSXAXAZXAX,1,0
001,XZXAXZAXSXAXSAXSZSAXZAXAXAZSXASXAZXZAZXSXSASXSXSXSAXSXSXSXSAXAXSXSXSAXSXZXSXAZAXSXZXSXSXASXSXAXSXSXSXSXSXSX,2,1
002,AXZXAZASAXAXSXAZXZAZSXASXZXAXSZXSXASZSXSXSXSXSXSXASXSXAXSAXZXSAXASXSXAXSXAXASXSXSXAXSZXZAXSXSASXSXSXSXSAXAXSAXZXSXAXAXSX,2,1
003,ZXSXAXSXSZSAXAXAXAXAXZXSXSXSXSXSXSXSXSXSXAXAXAXZSXZXAXAXAXAXAXAXSXSX,1,0
004,XSXAXSXZXAXASXAXSAZAZXAXAZXAXAXAXAXAZXSXAZXAXSXSASXAZXAXASXAXAXASXASASXSXASXAXZXAXSXASZXASXSXAXSAXSASXSXSXSXAXSXSX,1,0
005,ASZAZASAXAXAXAXZAXSAXAZAXAXSXSXSAXSXSXSXAXSXSAXZXSXAZXSXSXSXSXSXSXSXSXSXSXSX,2,1
006,XAXAXAXAXAZXSXAXZXASZXAXAZXZXZXZXZXSXASXSXSXSXSXZXSXSXSXAXSXSXSAXSXZXSXSXSAXSXAXSXSXAXSX,2,0
007,XAXAXASXSZAZXAZXSAZXAZXSXAXAXSXAXSASXASASXASXAXSASXSAZXAXSXSAZXSXASXSXSXSXSXSXSXZXASXSXSXZXSXAXSXSXS,1,0
008,ASAXAZAZXAXSZXAXAXSAZXAZXZASASXZASXSZASZASASX,1,1
009,ASZAZXZAZAXAXAXAXASAXAZSXAZXASAXAXZXSASXAXSASXASZXZSXSAXSASAXSXSXSXSXSX,2,1
010,XZXSAXAXASXAZXSZAXZXZSAXAXAXSXASXSXZXZXZXAZXASXSAXSXASAXSXZXASXAXSXZXSXAXASXAXSXSXSXAXAXSXAX,1,0
011,XAXAZXSZXZXASXZAZXZXASXZSXSZSXSXSXSXSXSXAXSAXSASXAXSXSXSXSXSX,2,0
014,XZAZAXZASZASAZSAXAZASASAZSASASZXSXAXSXSXSXSXSZXASAZXSXSAZXSXSXZXZAXSAXSXSXSXSXSXAXZXAXAXAXSXSXSXSXSX,2,0
015,XSXAXAXAZAXSAXZXZXZXAXZXAZXZXSAZXZXSAXSASXSXASXSXSXSXSXAXSXSXSXSXSXSAXSXSXSXSXSXSXSX,2,0
016,XSAXAXASXAXZSAXSXAZXSXZSAXZAZXAXZSAZXZXZXSXAZSXSZXSZXZASXSXSXASXSXSXAXSXSAZXSAXZSXAXSXSXSXSXZAXSXAXSX,2,1
017,XSXSAXASXSZXZXZSXZSXZSXSXSXZXAXSXSXZXSXSXZAXSXSXZSXSXSXSXSXZXAXSXSZXSXSXSXSXZXSXSXSXSXSX,2,1
019,XAZAXAXSAXSAZXAXAZAXAZSZSXAZAXAXASXSZSASXZASXAZXSASASXSAXSZSAXZAXZSXASXZXZASXSAXSXZAXAXAZSXASXAZXSXZASXAZXSAZXASXSXSZSXAZXSAXAXSXSXZXSXAXASXSX,2,1
020,XZAZAZXAZXZAZSXZXAXZXZXAZXZXZSXZXZXAZXZXZAZAXSXZXZXZXSXSXSXAXSXSAXSXSXAZXSZAXAXAZXAXSXAXASXAXASXAX,2,0
021,XSXZAXSZXAXSXZXAZXAZSXZXZXZXZSXSXSAXSXSXSXZXSXSXSXZXSXSAXZXSAXSAXSXSAXAXAXSXSXAXSXSAXSXSXAXAXSX,2,1
022,XAXAXASAXAXZSXAXAXASXAXSXAZXAZXZXZXZXASXSXSXSXSXSXSAZXSXSAXSXSAXZXSXZXSXSXSXSXAXSXSXSXSXSXSXAXSXSX,2,0
023,ZXASXSXZXAXZXZXSXAXZXSXAXSAZXZXSXZXZXZXSXASXAXSXSXSXSXSXZXAXAXSXSXSXSXAXSXSXZXSAXAXSXAXSZSZSXSXSXSXSXSX,1,0
025,ASAZASAXZASASAZASZSASZASZAZSZAZASXSZSZSZSXSXSXSXZXSXAXSXSXSXSXSXSXSASXSXSXSXSAXSXSXSXSAXSXZAXAXSXSX,2,1
026,ASAXAZXSASXZAXAXSAXZASXSASAZSZAXSXSXSAXSAXSXSXSX,2,1
027,SXAXAXSAXZXAXSXAXAXSXSXASXSXAXAXSXAXSXSXSXASXAZXSXSXSXSXAXSXSAXSXAX,1,1
029,XAXZAXSXAXAXAXAXASXZSXAZXZXAXZXZSXZSXSXASXSXSXSXSXSXAZAXAXSXASZXSAXSXSZSXAXSXSXAXAXSXZXSXZXSAXASXZXZSXAXSXZXZXSXASXAXSXSXSXSZ,1,1
031,AXAXAXAXASAXAXASXSXASXSXSXSASXSXASXASASXASAXZAZXASXSXAXSXSXSXAXS,1,0
032,XAXAXAZXZXZXZXZXAZXZXZAXZXZXZXAXSXSXSXZXSXAZXSXSXZXASXSXSXSXSXSXSXAXAX,1,0
